acao;evento;timestamp;tabela;origem;destino;mascara;gateway
-R;27942;42.637268169515;24;145.236.0.19;145.236.0.1;32;145.236.0.3
-R;27943;42.637268226041;25;145.236.0.20;145.236.0.1;32;145.236.0.3
-R;27944;42.637505991147;9;145.236.0.4;145.236.0.1;32;145.236.0.8
-R;28278;43.198106889022;8;145.236.0.3;145.236.0.2;32;145.236.0.2
-R;28361;43.640482742939;21;145.236.0.16;145.236.0.1;32;145.236.0.12
-R;28362;43.640482862964;14;145.236.0.9;145.236.0.1;32;145.236.0.12
-R;28363;43.640482933428;18;145.236.0.13;145.236.0.1;32;145.236.0.12
-R;28364;43.640482974921;22;145.236.0.17;145.236.0.1;32;145.236.0.12
-R;28365;43.640483084205;8;145.236.0.3;145.236.0.1;32;145.236.0.12
-R;28366;43.640483157891;11;145.236.0.6;145.236.0.1;32;145.236.0.12
-R;28367;43.640483263443;15;145.236.0.10;145.236.0.1;32;145.236.0.12
-R;28368;43.640483312377;23;145.236.0.18;145.236.0.1;32;145.236.0.12
+R;28976;45.198719647294;14;145.236.0.9;145.236.0.1;32;145.236.0.1
+R;28986;45.198719811734;15;145.236.0.10;145.236.0.1;32;145.236.0.1
+R;28991;45.198720014939;21;145.236.0.16;145.236.0.1;32;145.236.0.1
+R;28996;45.198720107874;18;145.236.0.13;145.236.0.1;32;145.236.0.1
+R;29001;45.198720198779;8;145.236.0.3;145.236.0.1;32;145.236.0.1
+R;29068;45.19961990358;17;145.236.0.12;145.236.0.10;32;145.236.0.10
+R;29073;45.199619939428;6;145.236.0.1;145.236.0.10;32;145.236.0.10
+R;29078;45.199619999715;14;145.236.0.9;145.236.0.10;32;145.236.0.10
+R;29083;45.199620063884;21;145.236.0.16;145.236.0.10;32;145.236.0.10
+R;29088;45.199620086895;8;145.236.0.3;145.236.0.10;32;145.236.0.10
+R;29093;45.199620238372;18;145.236.0.13;145.236.0.10;32;145.236.0.10
+R;29098;45.199620441603;11;145.236.0.6;145.236.0.10;32;145.236.0.10
+R;29098;45.199620441603;11;145.236.0.6;145.236.0.1;32;145.236.0.10
+R;29103;45.199620463356;13;145.236.0.8;145.236.0.10;32;145.236.0.10
+R;29103;45.199620463356;13;145.236.0.8;145.236.0.1;32;145.236.0.10
+R;29122;45.199862807516;15;145.236.0.10;145.236.0.9;32;145.236.0.9
+R;29192;45.200654606955;15;145.236.0.10;145.236.0.3;32;145.236.0.3
+R;29197;45.200654747469;11;145.236.0.6;145.236.0.3;32;145.236.0.3
+R;29202;45.200654822335;17;145.236.0.12;145.236.0.3;32;145.236.0.3
+R;29207;45.200654846506;6;145.236.0.1;145.236.0.3;32;145.236.0.3
+R;29212;45.200654852541;21;145.236.0.16;145.236.0.3;32;145.236.0.3
+R;29217;45.200654884857;14;145.236.0.9;145.236.0.3;32;145.236.0.3
+R;29222;45.200654951971;12;145.236.0.7;145.236.0.3;32;145.236.0.3
+R;29222;45.200654951971;12;145.236.0.7;145.236.0.1;32;145.236.0.3
+R;29227;45.200654956951;10;145.236.0.5;145.236.0.3;32;145.236.0.3
+R;29227;45.200654956951;10;145.236.0.5;145.236.0.1;32;145.236.0.3
+R;29232;45.200655011209;20;145.236.0.15;145.236.0.3;32;145.236.0.3
+R;29232;45.200655011209;20;145.236.0.15;145.236.0.1;32;145.236.0.3
+R;29252;45.200758153911;18;145.236.0.13;145.236.0.12;32;145.236.0.12
+R;29257;45.200758335069;8;145.236.0.3;145.236.0.12;32;145.236.0.12
+R;29262;45.200758458931;13;145.236.0.8;145.236.0.12;32;145.236.0.12
+R;29267;45.200758531032;23;145.236.0.18;145.236.0.12;32;145.236.0.12
+R;29267;45.200758531032;23;145.236.0.18;145.236.0.1;32;145.236.0.12
+R;29332;45.202349964716;21;145.236.0.16;145.236.0.13;32;145.236.0.13
+R;29337;45.202350117492;13;145.236.0.8;145.236.0.13;32;145.236.0.13
+R;29342;45.202350181212;23;145.236.0.18;145.236.0.13;32;145.236.0.13
+R;29347;45.202350189507;17;145.236.0.12;145.236.0.13;32;145.236.0.13
+R;29352;45.202350240904;7;145.236.0.2;145.236.0.13;32;145.236.0.13
*R;29352;45.202350240904;7;145.236.0.2;145.236.0.1;32;145.236.0.13
+R;29361;45.202350303864;6;145.236.0.1;145.236.0.13;32;145.236.0.13
+R;29366;45.202350306652;15;145.236.0.10;145.236.0.13;32;145.236.0.13
+R;29372;45.202350384912;14;145.236.0.9;145.236.0.13;32;145.236.0.13
+R;29407;45.202441985433;18;145.236.0.13;145.236.0.16;32;145.236.0.16
+R;29419;45.202442421548;8;145.236.0.3;145.236.0.16;32;145.236.0.16
+R;29424;45.202442487993;11;145.236.0.6;145.236.0.16;32;145.236.0.16
+R;29637;45.517624157619;14;145.236.0.9;145.236.0.12;32;145.236.0.12
+R;29642;45.517624164623;15;145.236.0.10;145.236.0.12;32;145.236.0.12
+R;29647;45.517624290659;21;145.236.0.16;145.236.0.12;32;145.236.0.12
*R;29662;45.517624704811;13;145.236.0.8;145.236.0.1;32;145.236.0.12
+R;29709;45.518040626129;23;145.236.0.18;145.236.0.8;32;145.236.0.8
+R;29714;45.518040705078;7;145.236.0.2;145.236.0.8;32;145.236.0.8
*R;29714;45.518040705078;7;145.236.0.2;145.236.0.1;32;145.236.0.8
*R;29714;45.518040705078;7;145.236.0.2;145.236.0.1;32;145.236.0.8
+R;29725;45.518040936774;18;145.236.0.13;145.236.0.8;32;145.236.0.8
+R;29730;45.518040985539;21;145.236.0.16;145.236.0.8;32;145.236.0.8
+R;29735;45.518041114688;22;145.236.0.17;145.236.0.8;32;145.236.0.8
+R;29735;45.518041114688;22;145.236.0.17;145.236.0.1;32;145.236.0.8
+R;29743;45.518041289589;19;145.236.0.14;145.236.0.8;32;145.236.0.8
+R;29743;45.518041289589;19;145.236.0.14;145.236.0.1;32;145.236.0.8
+R;29748;45.518041316616;11;145.236.0.6;145.236.0.8;32;145.236.0.8
*R;29748;45.518041316616;11;145.236.0.6;145.236.0.1;32;145.236.0.8
*R;29748;45.518041316616;11;145.236.0.6;145.236.0.1;32;145.236.0.8
+R;29753;45.51804131795;17;145.236.0.12;145.236.0.8;32;145.236.0.8
+R;29758;45.518041339167;15;145.236.0.10;145.236.0.8;32;145.236.0.8
+R;29764;45.51804138873;20;145.236.0.15;145.236.0.8;32;145.236.0.8
*R;29764;45.51804138873;20;145.236.0.15;145.236.0.1;32;145.236.0.8
*R;29764;45.51804138873;20;145.236.0.15;145.236.0.1;32;145.236.0.8
+R;29842;45.518372847127;13;145.236.0.8;145.236.0.2;32;145.236.0.2
+R;29871;45.518458352105;7;145.236.0.2;145.236.0.18;32;145.236.0.18
+R;29880;45.518459057519;11;145.236.0.6;145.236.0.18;32;145.236.0.18
+R;29885;45.518459089502;17;145.236.0.12;145.236.0.18;32;145.236.0.18
+R;29904;45.518485367903;15;145.236.0.10;145.236.0.16;32;145.236.0.16
+R;29910;45.518485459018;6;145.236.0.1;145.236.0.16;32;145.236.0.16
+R;29916;45.518485552574;14;145.236.0.9;145.236.0.16;32;145.236.0.16
+R;29962;45.518870094313;10;145.236.0.5;145.236.0.15;32;145.236.0.15
*R;29962;45.518870094313;10;145.236.0.5;145.236.0.1;32;145.236.0.15
*R;29962;45.518870094313;10;145.236.0.5;145.236.0.1;32;145.236.0.15
+R;29967;45.518870132248;11;145.236.0.6;145.236.0.15;32;145.236.0.15
+R;29972;45.518870348988;9;145.236.0.4;145.236.0.15;32;145.236.0.15
+R;29972;45.518870348988;9;145.236.0.4;145.236.0.1;32;145.236.0.15
+R;29977;45.518870365875;24;145.236.0.19;145.236.0.15;32;145.236.0.15
+R;29977;45.518870365875;24;145.236.0.19;145.236.0.1;32;145.236.0.15
+R;29982;45.5188704612;12;145.236.0.7;145.236.0.15;32;145.236.0.15
*R;29982;45.5188704612;12;145.236.0.7;145.236.0.1;32;145.236.0.15
*R;29982;45.5188704612;12;145.236.0.7;145.236.0.1;32;145.236.0.15
+R;29987;45.518870484455;19;145.236.0.14;145.236.0.15;32;145.236.0.15
+R;29992;45.51887057273;16;145.236.0.11;145.236.0.15;32;145.236.0.15
+R;29992;45.51887057273;16;145.236.0.11;145.236.0.1;32;145.236.0.15
+R;29997;45.518870604536;22;145.236.0.17;145.236.0.15;32;145.236.0.15
+R;30002;45.51887068585;8;145.236.0.3;145.236.0.15;32;145.236.0.15
+R;30007;45.518870705788;25;145.236.0.20;145.236.0.15;32;145.236.0.15
+R;30007;45.518870705788;25;145.236.0.20;145.236.0.1;32;145.236.0.15
+R;30012;45.518870706461;13;145.236.0.8;145.236.0.15;32;145.236.0.15
+R;30150;45.520532838619;6;145.236.0.1;145.236.0.9;32;145.236.0.9
+R;30155;45.520532952655;17;145.236.0.12;145.236.0.9;32;145.236.0.9
+R;30165;45.520533293157;21;145.236.0.16;145.236.0.9;32;145.236.0.9
+R;30170;45.520533373318;18;145.236.0.13;145.236.0.9;32;145.236.0.9
+R;30175;45.520533414206;8;145.236.0.3;145.236.0.9;32;145.236.0.9
+R;30358;45.521503580383;19;145.236.0.14;145.236.0.17;32;145.236.0.17
+R;30363;45.5215038062;7;145.236.0.2;145.236.0.17;32;145.236.0.17
+R;30368;45.521503850511;23;145.236.0.18;145.236.0.17;32;145.236.0.17
+R;30374;45.521504069002;20;145.236.0.15;145.236.0.17;32;145.236.0.17
+R;30395;45.521757898684;10;145.236.0.5;145.236.0.6;32;145.236.0.6
+R;30400;45.521758165663;12;145.236.0.7;145.236.0.6;32;145.236.0.6
+R;30405;45.521758171202;8;145.236.0.3;145.236.0.6;32;145.236.0.6
+R;30410;45.521758228528;24;145.236.0.19;145.236.0.6;32;145.236.0.6
+R;30415;45.521758270205;9;145.236.0.4;145.236.0.6;32;145.236.0.6
+R;30420;45.52175829905;16;145.236.0.11;145.236.0.6;32;145.236.0.6
+R;30425;45.521758324928;21;145.236.0.16;145.236.0.6;32;145.236.0.6
+R;30430;45.521758368464;13;145.236.0.8;145.236.0.6;32;145.236.0.6
+R;30435;45.521758370935;15;145.236.0.10;145.236.0.6;32;145.236.0.6
+R;30442;45.521758443217;22;145.236.0.17;145.236.0.6;32;145.236.0.6
+R;30478;45.522579249303;22;145.236.0.17;145.236.0.14;32;145.236.0.14
+R;30483;45.522579617908;20;145.236.0.15;145.236.0.14;32;145.236.0.14
+R;30488;45.522579677879;7;145.236.0.2;145.236.0.14;32;145.236.0.14
+R;30493;45.522579706041;23;145.236.0.18;145.236.0.14;32;145.236.0.14
+R;30498;45.522579740515;13;145.236.0.8;145.236.0.14;32;145.236.0.14
+R;30503;45.522579785383;11;145.236.0.6;145.236.0.14;32;145.236.0.14
+R;30508;45.52257982355;10;145.236.0.5;145.236.0.14;32;145.236.0.14
*R;30675;45.524070837803;17;145.236.0.12;145.236.0.2;32;145.236.0.8
*R;30675;45.524070837803;17;145.236.0.12;145.236.0.2;32;145.236.0.8
*R;30725;45.529285248944;6;145.236.0.1;145.236.0.2;32;145.236.0.12
+R;31649;46.203187764056;18;145.236.0.13;145.236.0.2;32;145.236.0.2
*R;31822;46.208416295553;6;145.236.0.1;145.236.0.2;32;145.236.0.13
*R;31822;46.208416295553;6;145.236.0.1;145.236.0.2;32;145.236.0.13
+R;32817;48.19910325883;23;145.236.0.18;145.236.0.2;32;145.236.0.2
+R;32822;48.19910368568;22;145.236.0.17;145.236.0.2;32;145.236.0.2
+R;32832;48.199103747067;21;145.236.0.16;145.236.0.2;32;145.236.0.2
+R;32837;48.199103748553;19;145.236.0.14;145.236.0.2;32;145.236.0.2
+R;32919;48.199552341083;20;145.236.0.15;145.236.0.2;32;145.236.0.14
+R;32929;48.19955238918;11;145.236.0.6;145.236.0.2;32;145.236.0.14
+R;32950;48.199730285531;18;145.236.0.13;145.236.0.18;32;145.236.0.18
+R;32955;48.199730348525;21;145.236.0.16;145.236.0.18;32;145.236.0.18
+R;32961;48.199730519045;19;145.236.0.14;145.236.0.18;32;145.236.0.18
+R;32966;48.199730604217;15;145.236.0.10;145.236.0.18;32;145.236.0.18
+R;32966;48.199730604217;15;145.236.0.10;145.236.0.2;32;145.236.0.18
*R;33018;48.201707936335;17;145.236.0.12;145.236.0.2;32;145.236.0.13
+R;33048;48.201708126479;14;145.236.0.9;145.236.0.2;32;145.236.0.13
+R;33055;48.20170830649;8;145.236.0.3;145.236.0.13;32;145.236.0.13
+R;33055;48.20170830649;8;145.236.0.3;145.236.0.2;32;145.236.0.13
+R;33174;48.20247649037;13;145.236.0.8;145.236.0.17;32;145.236.0.17
+R;33189;48.202476728614;11;145.236.0.6;145.236.0.17;32;145.236.0.17
+R;33268;48.203148474079;17;145.236.0.12;145.236.0.16;32;145.236.0.16
+R;33278;48.203148581266;23;145.236.0.18;145.236.0.16;32;145.236.0.16
+R;33283;48.20314858764;13;145.236.0.8;145.236.0.16;32;145.236.0.16
+R;33293;48.203148658339;7;145.236.0.2;145.236.0.16;32;145.236.0.16
+R;33308;48.203148897741;20;145.236.0.15;145.236.0.16;32;145.236.0.16
*R;33773;48.518302189629;7;145.236.0.2;145.236.0.1;32;145.236.0.13
*R;33773;48.518302189629;7;145.236.0.2;145.236.0.1;32;145.236.0.13
*R;34066;48.519860825427;17;145.236.0.12;145.236.0.2;32;145.236.0.10
*R;34066;48.519860825427;17;145.236.0.12;145.236.0.2;32;145.236.0.10
*R;34071;48.519860864388;6;145.236.0.1;145.236.0.2;32;145.236.0.10
*R;34071;48.519860864388;6;145.236.0.1;145.236.0.2;32;145.236.0.10
*R;34081;48.519860959496;8;145.236.0.3;145.236.0.2;32;145.236.0.10
*R;34081;48.519860959496;8;145.236.0.3;145.236.0.2;32;145.236.0.10
*R;34086;48.519860967882;14;145.236.0.9;145.236.0.2;32;145.236.0.10
*R;34086;48.519860967882;14;145.236.0.9;145.236.0.2;32;145.236.0.10
+R;34339;48.521737088361;20;145.236.0.15;145.236.0.6;32;145.236.0.6
+R;34344;48.521737193239;10;145.236.0.5;145.236.0.2;32;145.236.0.6
+R;34349;48.52173746492;12;145.236.0.7;145.236.0.2;32;145.236.0.6
+R;34354;48.52173756825;24;145.236.0.19;145.236.0.2;32;145.236.0.6
+R;34359;48.521737586289;16;145.236.0.11;145.236.0.2;32;145.236.0.6
+R;34364;48.521737619943;9;145.236.0.4;145.236.0.2;32;145.236.0.6
+R;34369;48.521737661178;19;145.236.0.14;145.236.0.6;32;145.236.0.6
+R;34466;48.522281071826;18;145.236.0.13;145.236.0.3;32;145.236.0.3
+R;34535;48.523169503762;20;145.236.0.15;145.236.0.5;32;145.236.0.5
+R;34540;48.523169531439;11;145.236.0.6;145.236.0.5;32;145.236.0.5
+R;34545;48.523169577556;12;145.236.0.7;145.236.0.5;32;145.236.0.5
+R;34550;48.523169710867;16;145.236.0.11;145.236.0.5;32;145.236.0.5
+R;34555;48.523169727218;24;145.236.0.19;145.236.0.5;32;145.236.0.5
+R;34560;48.523169820313;9;145.236.0.4;145.236.0.5;32;145.236.0.5
+R;34565;48.52316996303;25;145.236.0.20;145.236.0.5;32;145.236.0.5
+R;34565;48.52316996303;25;145.236.0.20;145.236.0.2;32;145.236.0.5
+R;34570;48.523170070327;8;145.236.0.3;145.236.0.5;32;145.236.0.5
+R;34704;48.523591146008;21;145.236.0.16;145.236.0.15;32;145.236.0.15
+R;34887;48.524911669296;9;145.236.0.4;145.236.0.19;32;145.236.0.19
+R;34892;48.524911870008;12;145.236.0.7;145.236.0.19;32;145.236.0.19
+R;34897;48.524911935955;10;145.236.0.5;145.236.0.19;32;145.236.0.19
+R;34902;48.524911984964;25;145.236.0.20;145.236.0.19;32;145.236.0.19
+R;34907;48.524911999681;16;145.236.0.11;145.236.0.19;32;145.236.0.19
+R;34912;48.524912013344;20;145.236.0.15;145.236.0.19;32;145.236.0.19
+R;34917;48.524912115118;11;145.236.0.6;145.236.0.19;32;145.236.0.19
+R;34938;48.524919080635;24;145.236.0.19;145.236.0.11;32;145.236.0.11
+R;34983;48.525547984339;16;145.236.0.11;145.236.0.7;32;145.236.0.7
+R;34988;48.525548099118;10;145.236.0.5;145.236.0.7;32;145.236.0.7
+R;34993;48.525548182948;24;145.236.0.19;145.236.0.7;32;145.236.0.7
+R;34998;48.525548220131;25;145.236.0.20;145.236.0.7;32;145.236.0.7
+R;35003;48.525548290244;20;145.236.0.15;145.236.0.7;32;145.236.0.7
